,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
83,600759.SH,20210203,1.62,1.68,1.62,1.65,1.64,0.01,0.6098,463459.57,76250.274
84,600519.SH,20210202,2112.22,2149.99,2102.1,2145.0,2109.32,35.68,1.6915,34582.25,7372233.582
85,600759.SH,20210202,1.7,1.73,1.63,1.64,1.67,-0.03,-1.7964,825738.88,138657.633
86,600519.SH,20210201,2130.0,2160.0,2095.0,2109.32,2116.18,-6.86,-0.3242,29340.59,6219639.111
87,600759.SH,20210201,1.6,1.67,1.58,1.67,1.52,0.15,9.8684,631562.08,104609.931
88,600519.SH,20210129,2101.19,2149.48,2090.22,2116.18,2088.0,28.18,1.3496,33701.33,7166179.277
89,600759.SH,20210129,1.59,1.6,1.5,1.52,1.58,-0.06,-3.7975,308466.18,47527.792
90,600519.SH,20210128,2080.0,2109.66,2060.02,2088.0,2089.0,-1.0,-0.0479,35128.64,7337084.455
91,600759.SH,20210128,1.58,1.6,1.56,1.58,1.59,-0.01,-0.6289,164623.2,26108.714
92,600519.SH,20210127,2141.89,2141.89,2085.0,2089.0,2141.89,-52.89,-2.4693,37120.17,7809446.387
93,600759.SH,20210127,1.58,1.61,1.58,1.59,1.59,0.0,0.0,176280.49,28065.721
94,600519.SH,20210126,2185.0,2187.0,2125.11,2141.89,2175.0,-33.11,-1.5223,31747.46,6820173.362
95,600759.SH,20210126,1.61,1.62,1.58,1.59,1.61,-0.02,-1.2422,219769.9,35147.891
96,600519.SH,20210125,2083.0,2179.5,2083.0,2175.0,2079.95,95.05,4.5698,55957.16,12029474.558
97,600759.SH,20210125,1.64,1.65,1.6,1.61,1.65,-0.04,-2.4242,275442.8,44762.098
98,600519.SH,20210122,2069.0,2100.0,2060.1,2079.95,2070.0,9.95,0.4807,29247.61,6090260.364
99,600759.SH,20210122,1.7,1.7,1.62,1.65,1.72,-0.07,-4.0698,407750.01,67503.031
100,600519.SH,20210121,2048.0,2090.02,2041.0,2070.0,2040.63,29.37,1.4393,38310.17,7953455.967
101,600759.SH,20210121,1.7,1.77,1.69,1.72,1.7,0.02,1.1765,557565.63,96167.283
102,600519.SH,20210120,2008.0,2055.49,1982.5,2040.63,2009.41,31.22,1.5537,45082.42,9126453.277
103,600759.SH,20210120,1.71,1.73,1.67,1.7,1.72,-0.02,-1.1628,298184.46,50542.153
104,600519.SH,20210119,2073.11,2096.3,2006.85,2009.41,2063.0,-53.59,-2.5977,46345.19,9479278.513
105,600759.SH,20210119,1.68,1.73,1.66,1.72,1.69,0.03,1.7751,280679.26,47705.48
106,600519.SH,20210118,2061.06,2091.48,2040.27,2063.0,2082.0,-19.0,-0.9126,39144.04,8076715.79
107,600759.SH,20210118,1.67,1.71,1.66,1.69,1.69,0.0,0.0,171176.7,28917.112
108,600519.SH,20210115,2115.0,2134.35,2029.0,2082.0,2134.0,-52.0,-2.4367,59509.39,12372103.227
109,600759.SH,20210115,1.65,1.69,1.65,1.69,1.66,0.03,1.8072,192305.56,32221.786
110,600519.SH,20210114,2156.0,2163.0,2116.11,2134.0,2164.0,-30.0,-1.3863,36152.2,7722089.684
111,600759.SH,20210114,1.66,1.67,1.61,1.66,1.67,-0.01,-0.5988,255717.76,41834.296
112,600519.SH,20210113,2164.0,2173.33,2135.0,2164.0,2160.9,3.1,0.1435,34389.93,7418330.854
113,600759.SH,20210113,1.69,1.71,1.65,1.67,1.68,-0.01,-0.5952,178037.2,29860.657
114,600519.SH,20210112,2088.0,2160.9,2085.0,2160.9,2099.73,61.17,2.9132,41058.59,8800558.288
115,600759.SH,20210112,1.69,1.7,1.67,1.68,1.69,-0.01,-0.5917,185305.01,31136.213
116,600519.SH,20210111,2090.0,2150.5,2058.6,2099.73,2090.0,9.73,0.4656,51079.9,10768565.415
117,600759.SH,20210111,1.77,1.77,1.68,1.69,1.76,-0.07,-3.9773,366640.62,62959.682
118,600519.SH,20210108,2142.0,2150.88,2063.02,2090.0,2140.0,-50.0,-2.3364,53861.64,11345202.869
119,600759.SH,20210108,1.78,1.79,1.73,1.76,1.79,-0.03,-1.676,293247.04,51527.177
120,600519.SH,20210107,2097.0,2140.0,2075.0,2140.0,2100.0,40.0,1.9048,37931.39,7991178.754
121,600759.SH,20210107,1.8,1.82,1.77,1.79,1.81,-0.02,-1.105,331712.61,59381.492
122,600519.SH,20210106,2064.8,2125.0,2036.03,2100.0,2059.45,40.55,1.969,47410.2,9882593.867
123,600759.SH,20210106,1.8,1.87,1.8,1.81,1.78,0.03,1.6854,464764.24,84990.354
124,600519.SH,20210105,1990.0,2059.45,1982.46,2059.45,1997.0,62.45,3.1272,52116.05,10592557.37
125,600759.SH,20210105,1.77,1.79,1.75,1.78,1.79,-0.01,-0.5587,299011.79,52846.69
126,600519.SH,20210104,1999.98,2004.99,1983.81,1997.0,1998.0,-1.0,-0.0501,43514.0,8686920.261
127,600759.SH,20210104,1.82,1.86,1.78,1.79,1.79,0.0,0.0,664576.86,120298.602
